SCHOOL_ENROLLMENT_ID,CENSUS_YEAR,CENSUS_SUBDIVISION_ID,SCHOOL_NAME,SCHOOL_DISTRICT,ELEMENTARY_SCHOOL_ENROLLMENT,SECONDARY_SCHOOL_ENROLLMENT,SCHOOL_YEAR_PERIOD,DATA_PUBLICATION_YEAR,LATITUDE,LONGITUDE
397,2016,5909020,Bernard Elementary,Chilliwack,288,0,2016/2017,2017,49.163526,-121.965933
398,2016,5909020,Cascade Christian School,Chilliwack,84,19,2016/2017,2017,49.158899,-121.939413
399,2016,5909020,Cheam Elementary,Chilliwack,200,0,2016/2017,2017,49.181743,-121.893522
400,2016,5909020,Chilliwack Adventist Christian School,Chilliwack,17,0,2016/2017,2017,49.180425,-121.951444
401,2016,5909020,Chilliwack Central Elementary Community,Chilliwack,246,0,2016/2017,2017,49.173511,-121.952652
402,2016,5909020,Chilliwack Middle School,Chilliwack,190,368,2016/2017,2017,49.174454,-121.942962
403,2016,5909020,Chilliwack Secondary,Chilliwack,0,1059,2016/2017,2017,49.174588,-121.942807
404,2016,5909020,Continuing Ed SD 33,Chilliwack,0,41,2016/2017,2017,49.16299,-121.947527
405,2016,5909035,Cultus Lake Community School,Chilliwack,172,0,2016/2017,2017,49.072988,-121.976329
406,2016,5909020,East Chilliwack Elementary,Chilliwack,297,0,2016/2017,2017,49.161728,-121.863535
407,2016,5909020,Evans Elementary,Chilliwack,328,0,2016/2017,2017,49.139845,-121.977569
408,2016,5909020,F G Leary Fine Arts Elementary,Chilliwack,333,0,2016/2017,2017,49.171041,-121.921651
409,2016,5909020,Fraser Valley Distance Education,Chilliwack,100,1257,2016/2017,2017,49.174551,-121.942903
410,2016,5909020,Greendale Elementary,Chilliwack,153,0,2016/2017,2017,49.122226,-122.045606
411,2016,5909020,GW Graham Middle Secondary,Chilliwack,150,847,2016/2017,2017,49.106644,-121.952796
412,2016,5909020,Highroad Academy,Chilliwack,259,168,2016/2017,2017,49.161983,-121.933948
413,2016,5909020,John Calvin School,Chilliwack,241,0,2016/2017,2017,49.079523,-122.0676
414,2016,5909020,Little Mountain Elementary,Chilliwack,357,0,2016/2017,2017,49.18096,-121.929142
415,2016,5909020,McCammon Traditional Elementary,Chilliwack,277,0,2016/2017,2017,49.176547,-121.967743
416,2016,5909020,Mount Cheam Christian School,Chilliwack,245,114,2016/2017,2017,49.177425,-121.870241
417,2016,5909020,Mount Slesse Middle School,Chilliwack,209,399,2016/2017,2017,49.10865,-121.976791
418,2016,5909020,Promontory Heights Community Elementary,Chilliwack,621,0,2016/2017,2017,49.100985,-121.944963
419,2016,5909020,Robertson Elementary,Chilliwack,264,0,2016/2017,2017,49.157318,-121.948914
420,2016,5909020,Rosedale Mennonite School,Chilliwack,6,4,2016/2017,2017,49.183333,-121.8
421,2016,5909020,Rosedale Traditional Community,Chilliwack,324,174,2016/2017,2017,49.175425,-121.817391
422,2016,5909020,Sardis Elementary,Chilliwack,511,0,2016/2017,2017,49.127758,-121.957352
423,2016,5909020,Sardis Secondary,Chilliwack,0,1233,2016/2017,2017,49.122757,-121.966347
424,2016,5909020,St Mary's,Chilliwack,202,0,2016/2017,2017,49.16389,-121.962018
425,2016,5909020,Strathcona Elementary,Chilliwack,437,0,2016/2017,2017,49.186828,-121.941473
426,2016,5909020,Timothy Christian School,Chilliwack,161,126,2016/2017,2017,49.190694,-121.829398
427,2016,5909020,Tyson Elementary,Chilliwack,286,0,2016/2017,2017,49.118343,-121.974585
428,2016,5909020,Unity Christian School,Chilliwack,268,166,2016/2017,2017,49.166667,-121.95
429,2016,5909020,Unsworth Elementary,Chilliwack,513,0,2016/2017,2017,49.105045,-121.99756
430,2016,5909020,Vedder Elementary,Chilliwack,485,0,2016/2017,2017,49.111266,-121.956967
431,2016,5909020,Vedder Middle School,Chilliwack,248,358,2016/2017,2017,49.118375,-121.96387
432,2016,5909020,Watson Elementary,Chilliwack,479,0,2016/2017,2017,49.111222,-121.970666
433,2016,5909020,Yarrow Community School,Chilliwack,309,0,2016/2017,2017,49.085945,-122.04558
434,2016,5909052,Abbotsford Christian School,Abbotsford,582,401,2016/2017,2017,49.061563,-122.255554
435,2016,5909052,Abbotsford Middle School,Abbotsford,427,243,2016/2017,2017,49.041975,-122.303183
436,2016,5909052,Abbotsford Senior Secondary School,Abbotsford,0,1061,2016/2017,2017,49.042068,-122.297878
