Average Rents($) of Vacant and Occupied Units by Zone and Bedroom Type,,,,,,,,,,,,,,,,,,,,,,,,,,
"Privately Initiated Apartments, 3 Units and Over",,,,,,,,,,,,,,,,,,,,,,,,,,
Census Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N: Are the average rents of vacant units statistically higher than the occupied units?,,,,,,,,,,,,,,,,,,,,,,,,,,
95% of Confidence Level is used for the test.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bachelor,,,,,1 Bedroom,,,,,2 Bedroom,,,,,3 Bedroom +,,,,,Total,,,,
Zone,Year,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N
Zone 10 - Southeast Vancouver,2019,**,,"1,097",a,**,"1,711",c,"1,302",a,Y,"2,444",b,"1,845",a,Y,**,,"2,080",a,**,"2,113",c,"1,521",a,Y
Zone 11 - University Endowment Lands,2019,**,,"1,450",a,**,**,,"1,828",a,**,**,,"2,350",a,**,**,,"2,979",a,**,"2,268",a,"2,086",a,Y
Zone 12 - Central Park/Metrotown,2019,**,,"1,146",a,**,"1,603",a,"1,244",a,Y,"1,991",a,"1,584",a,Y,**,,"2,060",b,**,"1,682",a,"1,337",a,Y
Zone 13 - Southeast Burnaby,2019,**,,849,a,**,"1,251",a,"1,076",a,Y,"1,774",b,"1,351",a,Y,**,,"1,443",a,**,"1,367",b,"1,160",a,Y
Zone 14 - North Burnaby,2019,**,,948,a,**,"1,534",a,"1,247",a,Y,"1,920",a,"1,603",a,Y,**,,"1,941",b,**,"1,759",a,"1,354",a,Y
Zone 15 - New Westminster,2019,**,,"1,092",b,**,"1,340",b,"1,193",a,Y,"2,083",b,"1,584",a,Y,**,,"1,967",a,**,"1,620",b,"1,301",a,Y
Zone 16 - North Vancouver CY,2019,**,,"1,195",a,**,"1,614",b,"1,381",a,Y,"2,443",a,"1,693",a,Y,**,,"2,626",b,**,"1,954",b,"1,464",a,Y
Zone 17 - North Vancouver DM,2019,**,,"1,246",a,**,**,,"1,553",a,**,"2,195",b,"1,970",a,Y,**,,"1,861",a,**,"2,066",a,"1,667",a,Y
Zone 18 - West Vancouver,2019,**,,"1,412",a,**,"1,901",a,"1,751",a,Y,"2,946",a,"2,578",a,Y,"3,566",b,"3,753",a,N,"2,658",a,"2,016",a,Y
Zone 19 - Richmond,2019,**,,"1,056",a,**,"1,384",b,"1,249",a,Y,"1,629",b,"1,507",a,Y,**,,"1,791",a,**,"1,446",b,"1,359",a,Y
Zone 20 - Delta,2019,**,,785,a,**,"1,108",a,960,a,Y,"1,415",a,"1,254",a,Y,**,,**,,**,"1,280",a,"1,091",a,Y
Zone 21 - Surrey,2019,**,,898,a,**,"1,295",a,"1,018",a,Y,**,,"1,213",a,**,**,,"1,346",a,**,"1,337",a,"1,131",a,Y
Zone 22 - White Rock,2019,**,,967,a,**,"1,141",a,"1,079",a,Y,**,,"1,391",a,**,**,,**,,**,"1,136",a,"1,165",a,N
Zone 23 - Langley City and Langley DM,2019,**,,901,b,**,"1,403",a,"1,207",a,Y,"1,857",a,"1,550",a,Y,**,,"2,104",c,**,"1,678",a,"1,372",a,Y
Zone 24 - Tri-Cities,2019,**,,930,a,**,"1,140",a,"1,145",a,N,"2,176",c,"1,499",b,Y,**,,"1,455",b,**,"1,823",d,"1,275",a,Y
Zone 25 - Maple Ridge/Pitt Meadows,2019,**,,868,c,**,**,,957,a,**,"1,295",b,"1,230",a,Y,**,,"1,542",a,**,"1,219",b,"1,071",a,Y
West End/Downtown (Zones 1-3),2019,"1,296",b,"1,340",a,N,"1,820",a,"1,653",a,Y,"2,644",a,"2,439",a,Y,**,,"3,667",b,**,"1,857",a,"1,700",a,Y
Burnaby (Zones 12-14),2019,"1,239",b,"1,014",a,Y,"1,551",a,"1,213",a,Y,"1,927",a,"1,544",a,Y,"2,435",b,"1,765",a,Y,"1,678",a,"1,307",a,Y
City of Vancouver (Zones 1-10),2019,"1,351",b,"1,274",a,Y,"1,705",a,"1,490",a,Y,"2,466",a,"2,062",a,Y,**,,"2,526",b,**,"1,873",a,"1,565",a,Y
Vancouver CMA,2019,"1,309",a,"1,226",a,Y,"1,558",a,"1,381",a,Y,"2,159",a,"1,742",a,Y,"2,865",b,"2,055",a,Y,"1,771",a,"1,466",a,Y
Zone 01 - Cook St. Area,2019,**,,959,a,**,"1,415",b,"1,150",a,Y,"1,509",b,"1,433",a,Y,**,,"1,669",b,**,"1,311",b,"1,196",a,Y
Zone 02 - Fort St. Area,2019,"1,117",b,921,a,Y,"1,160",a,"1,086",a,Y,**,,"1,420",a,**,**,,"1,703",d,**,"1,190",a,"1,166",a,Y
Zone 03 - James Bay Area,2019,**,,973,a,**,"1,415",a,"1,206",a,Y,"1,770",a,"1,546",a,Y,**,,**,,**,"1,423",a,"1,276",a,Y
Zone 04 - Remainder of City,2019,"1,187",a,988,a,Y,"1,285",a,"1,112",a,Y,"2,093",b,"1,440",a,Y,**,,"1,755",b,**,"1,581",b,"1,184",a,Y
Zone 05 - Saanich/Central Saanich,2019,**,,994,a,**,"1,330",a,"1,144",a,Y,"1,825",a,"1,491",a,Y,**,,"1,904",a,**,"1,504",a,"1,295",a,Y
Zone 06 - Esquimalt,2019,**,,832,a,**,"1,244",b,"1,032",a,Y,"1,497",a,"1,207",a,Y,**,,"1,456",a,**,"1,348",a,"1,106",a,Y
Zone 07 - Langford/Vw Royal/Colwood/Sooke,2019,**,,944,a,**,**,,"1,242",a,**,"1,745",a,"1,574",a,Y,**,,"1,684",a,**,"1,729",a,"1,398",a,Y
Zone 08 - Oak Bay,2019,**,,905,a,**,**,,"1,080",a,**,**,,"1,458",a,**,**,,**,,**,**,,"1,231",a,**
Zone 09 - North Saanich,2019,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**
Zone 10 - Sidney,2019,**,,**,,**,**,,"1,108",b,**,**,,"1,474",a,**,**,,**,,**,**,,"1,230",b,**
City of Victoria (Zones 1-4),2019,"1,106",a,968,a,Y,"1,275",a,"1,130",a,Y,"1,930",b,"1,459",a,Y,**,,"1,764",a,**,"1,442",b,"1,201",a,Y
Remainder of CMA (Zones 5-10),2019,"1,128",b,942,a,Y,"1,313",a,"1,115",a,Y,"1,695",a,"1,425",a,Y,**,,"1,719",a,**,"1,513",a,"1,253",a,Y
Victoria CMA,2019,"1,110",a,963,a,Y,"1,285",a,"1,126",a,Y,"1,826",a,"1,444",a,Y,"2,182",b,"1,735",a,Y,"1,464",a,"1,219",a,Y
Zone 01 - Centre,2019,**,,629,b,**,765,b,819,a,N,929,d,938,a,N,**,,"1,043",d,**,808,b,846,a,N
Zone 02 - East Inner,2019,**,,763,c,**,**,,829,a,**,928,b,962,b,N,**,,"1,431",b,**,874,c,901,b,N
Zone 03 - East Outer,2019,786,b,747,a,Y,"1,081",a,883,a,Y,"1,177",b,958,a,Y,**,,"1,251",b,**,"1,017",b,901,a,Y
Zone 04 - West,2019,650,c,626,a,N,740,b,783,a,N,967,b,915,a,Y,**,,**,,**,790,b,828,a,N
Zone 05 - Amherstburg,2019,**,,**,,**,**,,955,a,**,**,,"1,268",c,**,**,,**,,**,**,,"1,072",b,**
Zone 06 - Remainder of CMA,2019,**,,**,,**,**,,874,a,**,**,,969,a,**,**,,**,,**,**,,935,a,**
Windsor CMA,2019,686,b,683,a,N,815,a,832,a,N,975,b,948,a,Y,**,,"1,135",c,**,859,a,870,a,N
Zone 01 - Fort Rouge,2019,735,c,769,a,N,"1,003",a,977,a,Y,"1,345",a,"1,243",a,Y,"1,932",c,"1,502",b,Y,"1,198",a,"1,081",a,Y
Zone 02 - Centennial,2019,756,b,739,a,Y,917,a,923,a,N,"1,221",a,"1,166",a,Y,**,,"1,326",c,**,982,a,948,a,Y
Zone 03 - Midland,2019,674,b,654,a,Y,882,a,806,a,Y,"1,034",b,979,a,Y,**,,"1,306",b,**,905,a,821,a,Y
Zone 04 - Lord Selkirk,2019,**,,570,c,**,724,b,732,a,N,916,b,909,b,N,**,,**,,**,793,c,814,b,N
Zone 05 - St. James,2019,**,,824,a,**,"1,007",a,976,a,Y,"1,281",a,"1,184",a,Y,"2,206",c,"1,492",b,Y,"1,160",a,"1,079",a,Y
Zone 06 - West Kildonan,2019,**,,641,a,**,"1,056",a,992,a,Y,"1,228",b,"1,203",a,Y,**,,"1,347",c,**,"1,115",a,"1,119",a,N
Zone 07 - East Kildonan,2019,806,a,768,a,Y,971,a,960,a,Y,"1,141",a,"1,203",a,N,"1,701",b,"1,537",a,Y,"1,073",a,"1,076",a,N
Zone 08 - Transcona,2019,**,,**,,**,**,,861,a,**,"1,030",a,"1,022",a,Y,**,,**,,**,989,a,949,a,Y
Zone 09 - St. Boniface,2019,847,d,729,b,Y,944,b,918,a,Y,"1,205",a,"1,289",a,N,**,,"1,456",a,**,"1,044",b,"1,104",a,N
Zone 10 - St. Vital,2019,**,,818,a,**,"1,020",a,"1,028",a,N,"1,278",a,"1,277",a,N,**,,"1,460",a,**,"1,119",a,"1,154",a,N
Zone 11 - Fort Garry,2019,**,,802,a,**,"1,064",a,"1,073",a,N,"1,370",a,"1,294",a,Y,**,,"1,532",a,**,"1,239",a,"1,210",a,Y
Zone 12 - Assiniboine Park,2019,**,,804,a,**,"1,583",c,"1,151",a,Y,"1,573",a,"1,389",a,Y,"2,569",c,"2,287",b,Y,"1,775",b,"1,308",a,Y
Zone 13 - Outlying Areas,2019,**,,**,,**,**,,**,,**,**,,"1,799",b,**,**,,**,,**,**,,"1,514",b,**
Winnipeg CMA,2019,742,a,733,a,Y,990,a,956,a,Y,"1,239",a,"1,223",a,Y,"1,884",b,"1,521",a,Y,"1,101",a,"1,069",a,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,
The following letter codes are used to indicate the reliability of the estimates:,,,,,,,,,,,,,,,,,,,,,,,,,,
"a - Excellent, b - Very good, c - Good, d - Fair (Use with Caution)",,,,,,,,,,,,,,,,,,,,,,,,,,
** Data suppressed to protect confidentiality or data not statistically reliable,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
© 2019 Canada Mortgage and Housing Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: CMHC (Rental Market Survey),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,

