Average Rents($) of Vacant and Occupied Units by Zone and Bedroom Type,,,,,,,,,,,,,,,,,,,,,,,,,,
"Privately Initiated Apartments, 3 Units and Over",,,,,,,,,,,,,,,,,,,,,,,,,,
Census Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N: Are the average rents of vacant units statistically higher than the occupied units?,,,,,,,,,,,,,,,,,,,,,,,,,,
95% of Confidence Level is used for the test.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bachelor,,,,,1 Bedroom,,,,,2 Bedroom,,,,,3 Bedroom +,,,,,Total,,,,
Zone,Year,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N
Zone 03 - East,2019,**,,920,b,**,995,d,996,a,N,"1,234",c,"1,144",a,Y,**,,"1,233",b,**,"1,138",c,"1,111",a,Y
Zone 04 - Guelph/Eramosa and Puslinch,2019,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**,**,,**,,**
Guelph CMA,2019,**,,818,a,**,"1,286",a,"1,142",a,Y,"1,479",a,"1,278",a,Y,**,,"1,370",a,**,"1,384",a,"1,224",a,Y
Zone 01 - Peninsula South,2019,**,,888,a,**,"1,352",a,"1,203",a,Y,"2,024",b,"1,654",a,Y,**,,"1,950",b,**,"1,564",b,"1,336",a,Y
Zone 02 - Peninsula North,2019,**,,754,a,**,907,b,951,a,N,"1,132",b,"1,189",a,N,"1,370",c,"1,409",a,N,"1,091",b,"1,083",a,Y
Zone 03 - Mainland South,2019,**,,642,b,**,920,c,694,a,Y,842,c,838,a,N,**,,899,b,**,860,c,777,a,Y
Zone 04 - Mainland North,2019,**,,775,a,**,899,b,923,a,N,"1,291",a,"1,185",a,Y,"1,414",a,"1,405",a,N,"1,170",a,"1,127",a,Y
Zone 05 - Dartmouth North,2019,604,a,595,a,Y,684,a,752,a,N,854,a,987,a,N,**,,"1,183",b,**,756,a,889,a,N
Zone 06 - Dartmouth South,2019,**,,589,b,**,**,,941,c,**,929,b,"1,155",a,N,**,,"1,012",a,**,831,c,"1,064",a,N
Zone 07 - Dartmouth East,2019,**,,760,a,**,679,a,832,b,N,**,,"1,073",a,**,**,,959,c,**,793,b,"1,016",a,N
Zone 08 - Bedford,2019,**,,656,d,**,**,,865,a,**,"1,326",b,"1,327",a,N,**,,"1,474",a,**,"1,254",b,"1,286",a,N
Zone 09 - Sackville,2019,**,,**,,**,**,,930,a,**,**,,"1,098",a,**,**,,"1,291",a,**,**,,"1,101",a,**
Zone 10 - Remainder of CMA,2019,**,,**,,**,**,,"1,074",a,**,**,,"1,504",a,**,**,,"1,548",b,**,**,,"1,423",a,**
Halifax CMA,2019,683,b,814,a,N,841,a,961,a,N,"1,120",a,"1,202",a,N,"1,206",b,"1,392",a,N,"1,005",a,"1,114",a,N
Zone 01 - Downtown Core,2019,918,a,841,b,Y,"1,069",a,992,a,Y,"1,156",a,"1,173",a,N,"1,625",c,"1,686",c,N,"1,090",a,"1,062",a,Y
Zone 02 - Central East,2019,**,,584,b,**,817,c,825,a,N,"1,164",b,989,a,Y,**,,"1,042",a,**,"1,006",b,908,a,Y
Zone 03 - East End,2019,**,,932,b,**,"1,073",a,945,a,Y,"1,289",a,"1,086",a,Y,"1,338",a,"1,252",a,Y,"1,192",a,"1,051",a,Y
Zone 04 - Central,2019,**,,687,b,**,956,b,899,a,Y,"1,197",b,"1,116",a,Y,**,,"1,336",b,**,"1,027",b,995,a,Y
Zone 05 - West End,2019,**,,915,a,**,"1,085",a,"1,039",a,Y,"1,312",a,"1,222",a,Y,"1,469",a,"1,460",a,N,"1,192",a,"1,139",a,Y
Zone 06 - Mountain,2019,920,b,816,a,Y,"1,075",a,944,a,Y,"1,290",a,"1,122",a,Y,"1,405",a,"1,244",a,Y,"1,199",a,"1,048",a,Y
Zone 07 - Grimsby and Stoney Creek,2019,"1,043",a,767,a,Y,"1,096",a,923,a,Y,"1,163",a,"1,076",a,Y,**,,"1,202",b,**,"1,126",a,"1,000",a,Y
Zone 08 - Burlington,2019,**,,"1,031",b,**,"1,548",c,"1,351",a,Y,"1,757",b,"1,501",a,Y,"1,888",d,"1,718",a,Y,"1,711",b,"1,469",a,Y
Zone 09 - Ancast./Dundas/Flambor./Glanbrk.,2019,**,,865,c,**,"1,218",b,"1,100",a,Y,"1,428",a,"1,243",a,Y,**,,**,,**,"1,317",a,"1,192",a,Y
Hamilton CMA,2019,931,a,816,a,Y,"1,066",a,"1,018",a,Y,"1,312",a,"1,215",a,Y,"1,481",a,"1,449",a,Y,"1,186",a,"1,131",a,Y
Zone 01 - Core Area,2019,**,,969,a,**,"1,426",a,"1,100",a,Y,"1,723",a,"1,425",a,Y,**,,"1,557",b,**,"1,549",a,"1,230",a,Y
Zone 02 - Rutland,2019,**,,859,a,**,**,,929,a,**,**,,"1,160",c,**,**,,**,,**,**,,"1,093",b,**
Kelowna CMA,2019,**,,967,a,**,"1,426",a,"1,082",a,Y,"1,699",a,"1,377",a,Y,**,,"1,565",b,**,"1,546",a,"1,213",a,Y
Zone 01 - Downtown Kingston,2019,**,,841,c,**,**,,"1,146",b,**,"1,136",d,"1,337",b,N,**,,"2,122",c,**,"1,042",c,"1,329",b,N
Zone 02 - Southwestern Kingston,2019,**,,819,a,**,"1,144",b,"1,009",a,Y,"1,316",b,"1,210",b,Y,**,,"1,457",d,**,"1,261",b,"1,129",a,Y
Zone 03 - Northern Kingston,2019,**,,712,a,**,"1,155",b,"1,063",a,Y,"1,417",a,"1,152",a,Y,**,,"1,232",b,**,"1,328",a,"1,124",a,Y
Zone 04 - Remainder of CMA,2019,**,,696,b,**,"1,195",a,"1,174",a,Y,"1,514",a,"1,520",a,N,**,,"1,291",b,**,"1,352",a,"1,383",a,N
Kingston CMA,2019,**,,814,a,**,"1,052",b,"1,102",a,N,"1,299",a,"1,289",a,Y,"1,534",d,"1,813",c,N,"1,215",a,"1,237",a,N
Zone 01 - Kitchener East,2019,**,,750,a,**,"1,152",b,973,a,Y,"1,391",a,"1,161",a,Y,"1,579",b,"1,349",a,Y,"1,309",a,"1,113",a,Y
Zone 02 - Kitchener Central,2019,**,,768,b,**,"1,043",b,957,a,Y,"1,278",b,"1,175",a,Y,**,,"1,586",b,**,"1,125",b,"1,065",a,Y
Zone 03 - Kitchener West,2019,**,,793,a,**,"1,234",b,"1,044",a,Y,"1,439",a,"1,263",a,Y,**,,"1,188",b,**,"1,369",a,"1,167",a,Y
Zone 04 - Waterloo,2019,**,,"1,072",b,**,"1,316",c,"1,203",a,Y,"1,678",b,"1,363",a,Y,**,,"1,425",b,**,"1,532",b,"1,304",a,Y
Zone 05 - Cambridge,2019,**,,781,b,**,"1,051",b,"1,031",a,Y,"1,381",b,"1,205",a,Y,**,,"1,078",a,**,"1,257",a,"1,145",a,Y
Zone 06 - Three Townships,2019,**,,741,a,**,**,,883,a,**,**,,897,a,**,**,,"1,118",a,**,**,,907,a,**
Kitchener - Cambridge - Waterl CMA,2019,842,b,808,a,Y,"1,151",a,"1,042",a,Y,"1,442",a,"1,227",a,Y,"1,549",b,"1,297",a,Y,"1,322",a,"1,159",a,Y
